File Version,BWSpec4.11_1
Run Name,
Product Name,
Batch No,
Lot No,
Sample Suppler,
Sample Notes,
Date,2022-05-06 11:02:56
title,ZAFB
model,BRC112P-V
c code,ZAFB
operator,
pixel_start,0
pixel_end,2047
units,1
show_mode,0
data_mode,0
pixel_mode,0
integration times(ms),1
integration times unit,1
time_multiply,1
average number,1
spectrometer_type,63
yaxis,1
yaxis_min,0
yaxis_max,42000
xaxis,0
xaxis_min,0
xaxis_max,2047
pixel_num,2048
coefs_a0,317.794384991284
coefs_a1,0.443577830204049
coefs_a2,-3.30173878859696E-05
coefs_a3,-1.17603665341136E-09
coefs_b0,-724.425258341245
coefs_b1,2.29920846412642
coefs_b2,-0.000220172293984522
coefs_b3,4.38131310698166E-07
coefs_r0,1
coefs_r1,0
coefs_r2,0
coefs_r3,0
coefs_j0,1
coefs_j1,0
coefs_j2,0
coefs_j3,0
enable_coefs_r,0
laser_wavelength,0
laser_powerlevel,0
probe_index,0
probe_name,
dark_compensate,0
numcoeff_d,7
coefs_d0,0
coefs_d1,1
coefs_d2,0
coefs_d3,0
coefs_d4,0
coefs_d5,0
coefs_d6,0
coefs_d7,0
irradiance_lamp_inttime,1
irradiance_lamp_unitindex,0
Color_Data_Flag,0
Color_StartWL,400
Color_EndWL,700
Color_IncWL,10
power_unit_index,3
photometric_index,0
Illuminant_index,3
observer_index,0
lab_l,0
lab_a,0
lab_b,0
radiometric_flag,0
Data Pretreat_0,
Data Pretreat_1,
Data Pretreat_2,
Data Pretreat_3,
Data Pretreat_4,
Data Pretreat_5,
Data Pretreat_6,
Data Pretreat_7,
Data Pretreat_8,
Data Pretreat_9,
Data Pretreat_10,
Data Pretreat_11,
Data Pretreat_12,
Data Pretreat_13,
Data Pretreat_14,
Data Pretreat_15,
Data Pretreat_16,
Data Pretreat_17,
Data Pretreat_18,
Data Pretreat_19,
Data Pretreat_20,
Data Pretreat_21,
Data Pretreat_22,
Data Pretreat_23,
Data Pretreat_24,
Data Pretreat_25,
Data Pretreat_26,
Data Pretreat_27,
Data Pretreat_28,
Data Pretreat_29,
Pixel,Wavelength,Wavenumber,Raman Shift,Dark,Reference,Raw data #1,Dark Subtracted #1,%TR #1,Absorbance #1,Irradiance (W/cm^2/nm) #1,RelativeIntensityCorrection_Ratio #1,ReferenceMaterialCorrection_Ratio #1,AbsoluteIrradianceCorrection_Ratio #1,
0,317.79,31466.89,-31466.89,0.0000,65535.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
1,318.24,31423.03,-31423.03,0.0000,65535.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
2,318.68,31379.30,-31379.30,0.0000,65535.0000,5.0000,5.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
3,319.12,31335.70,-31335.70,0.0000,65535.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
4,319.57,31292.23,-31292.23,0.0000,65535.0000,57.0000,57.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
5,320.01,31248.88,-31248.88,0.0000,65535.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
6,320.45,31205.66,-31205.66,0.0000,65535.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
7,320.90,31162.57,-31162.57,0.0000,65535.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
8,321.34,31119.60,-31119.60,0.0000,65535.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
9,321.78,31076.76,-31076.76,0.0000,65535.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
10,322.23,31034.04,-31034.04,0.0000,65535.0000,13.0000,13.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
11,322.67,30991.44,-30991.44,0.0000,65535.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
12,323.11,30948.97,-30948.97,0.0000,65535.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
13,323.56,30906.62,-30906.62,0.0000,65535.0000,19.0000,19.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
14,324.00,30864.39,-30864.39,0.0000,65535.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
15,324.44,30822.28,-30822.28,0.0000,65535.0000,71.0000,71.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
16,324.88,30780.30,-30780.30,0.0000,65535.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
17,325.33,30738.43,-30738.43,0.0000,65535.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
18,325.77,30696.68,-30696.68,0.0000,65535.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
19,326.21,30655.06,-30655.06,0.0000,65535.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
